id;song_name;artist_name;album_name
1;payment responsive;Tactics;interactive asymmetric Croatia
2;Curve Borders;e-services Bedfordshire;Plastic bypassing
3;Savings Baht;vortals;River Ball Keyboard
4;panel;Account Adaptive Gloves;olive Nebraska
5;indexing Mountains Tuna;Car;Beauty Communications
6;Belize Martinique;Turkey syndicate Awesome;Dale Compatible Salad
7;Peru;Interactions Digitized;Clothing
8;Marketing;reboot Infrastructure;Composite Anguilla bricks-and-clicks
9;Refined;monitor grid-enabled;enhance
10;Fantastic American French;didactic Ball synergies;deposit index
